trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
132466_8__271___-1980804,15:30:00,15:30:00,par_8_07026,0,,,,
132466_8__271___-1980804,15:30:00,15:30:00,par_8_12245,1,,,,
132466_8__271___-1980804,15:34:00,15:34:00,par_8_09465,2,,,,
132466_8__271___-1980804,15:36:00,15:36:00,par_8_07219,3,,,,
132466_8__271___-1980804,15:39:00,15:39:00,par_8_12415,4,,,,
132466_8__271___-1980804,15:47:00,15:47:00,par_8_08996,5,,,,
132466_8__271___-1980804,15:50:00,15:50:00,par_8_15367,6,,,,
132466_8__271___-1980804,15:54:00,15:54:00,par_8_15162,7,,,,
132466_8__271___-1980804,15:57:00,15:57:00,par_8_15164,8,,,,
132466_8__271___-1980804,15:59:00,15:59:00,par_8_17765,9,,,,
132466_8__271___-1980804,16:01:00,16:01:00,par_8_12535,10,,,,
132466_8__271___-1980804,16:02:00,16:02:00,par_8_12537,11,,,,
132466_8__271___-1980804,16:04:00,16:04:00,par_8_12539,12,,,,
132466_8__271___-1980804,16:05:00,16:05:00,par_8_12541,13,,,,
132466_8__271___-1980804,16:06:00,16:06:00,par_8_20173,14,,,,
132466_8__271___-1980804,16:09:00,16:09:00,par_8_12542,15,,,,
132466_8__271___-1980804,16:10:00,16:10:00,par_8_08993,16,,,,
132466_8__271___-1980804,16:16:00,16:16:00,par_8_07311,17,,,,
132466_8__271___-1980804,16:34:00,16:34:00,par_8_07387,18,,,,
132466_8__271___-1980804,16:38:00,16:38:00,par_8_18502,19,,,,
132466_8__271___-1980804,16:44:00,16:44:00,par_8_99302,20,,,,
132466_8__271___-1980804,16:46:00,16:46:00,par_8_99304,21,,,,
132466_8__271___-1980804,16:50:00,16:50:00,par_8_20865,22,,,,
132466_8__271___-1980805,16:50:01,16:50:01,par_8_20865,0,,,,
132466_8__271___-1980805,16:50:00,16:50:00,par_8_99303,1,,,,
132466_8__271___-1980805,16:51:00,16:51:00,par_8_99301,2,,,,
132466_8__271___-1980805,16:57:00,16:57:00,par_8_18501,3,,,,
132466_8__271___-1980805,17:00:00,17:00:00,par_8_09665,4,,,,
132466_8__271___-1980805,17:17:00,17:17:00,par_8_09528,5,,,,
132466_8__271___-1980805,17:22:00,17:22:00,par_8_12544,6,,,,
132466_8__271___-1980805,17:23:00,17:23:00,par_8_12543,7,,,,
132466_8__271___-1980805,17:27:00,17:27:00,par_8_20172,8,,,,
132466_8__271___-1980805,17:27:00,17:27:00,par_8_12540,9,,,,
132466_8__271___-1980805,17:28:00,17:28:00,par_8_12538,10,,,,
132466_8__271___-1980805,17:30:00,17:30:00,par_8_12536,11,,,,
132466_8__271___-1980805,17:31:00,17:31:00,par_8_12534,12,,,,
132466_8__271___-1980805,17:33:00,17:33:00,par_8_17764,13,,,,
132466_8__271___-1980805,17:34:00,17:34:00,par_8_15163,14,,,,
132466_8__271___-1980805,17:37:00,17:37:00,par_8_15161,15,,,,
132466_8__271___-1980805,17:39:00,17:39:00,par_8_17767,16,,,,
132466_8__271___-1980805,17:41:00,17:41:00,par_8_15366,17,,,,
132466_8__271___-1980805,17:43:00,17:43:00,par_8_12040,18,,,,
132466_8__271___-1980805,17:44:00,17:44:00,par_8_08999,19,,,,
132466_8__271___-1980805,17:51:00,17:51:00,par_8_12416,20,,,,
132466_8__271___-1980805,17:53:00,17:53:00,par_8_06976,21,,,,
132466_8__271___-1980805,17:55:00,17:55:00,par_8_20659,22,,,,
132466_8__271___-1980805,18:00:01,18:00:01,par_8_20399,23,,,,
132466_8__271___-1980806,18:00:00,18:00:00,par_8_07026,0,,,,
132466_8__271___-1980806,18:00:00,18:00:00,par_8_09465,1,,,,
132466_8__271___-1980806,18:01:00,18:01:00,par_8_07219,2,,,,
132466_8__271___-1980806,18:03:00,18:03:00,par_8_12415,3,,,,
132466_8__271___-1980806,18:10:00,18:10:00,par_8_08996,4,,,,
132466_8__271___-1980806,18:12:00,18:12:00,par_8_15367,5,,,,
132466_8__271___-1980806,18:16:00,18:16:00,par_8_15162,6,,,,
132466_8__271___-1980806,18:19:00,18:19:00,par_8_09444,7,,,,
132466_8__271___-1980806,18:22:00,18:22:00,par_8_17751,8,,,,
132466_8__271___-1980806,18:23:00,18:23:00,par_8_17753,9,,,,
132466_8__271___-1980806,18:23:00,18:23:00,par_8_17758,10,,,,
132466_8__271___-1980806,18:24:00,18:24:00,par_8_17759,11,,,,
132466_8__271___-1980806,18:25:00,18:25:00,par_8_18456,12,,,,
132466_8__271___-1980806,18:29:00,18:29:00,par_8_07311,13,,,,
132466_8__271___-1980806,18:45:00,18:45:00,par_8_09665,14,,,,
132466_8__271___-1980807,18:45:01,18:45:01,par_8_09665,0,,,,
132466_8__271___-1980807,18:45:00,18:45:00,par_8_09528,1,,,,
132466_8__271___-1980807,18:50:00,18:50:00,par_8_18457,2,,,,
132466_8__271___-1980807,18:51:00,18:51:00,par_8_17760,3,,,,
132466_8__271___-1980807,18:53:00,18:53:00,par_8_17757,4,,,,
132466_8__271___-1980807,18:53:00,18:53:00,par_8_17754,5,,,,
132466_8__271___-1980807,18:54:00,18:54:00,par_8_17752,6,,,,
132466_8__271___-1980807,18:59:00,18:59:00,par_8_08994,7,,,,
132466_8__271___-1980807,19:03:00,19:03:00,par_8_15161,8,,,,
132466_8__271___-1980807,19:05:00,19:05:00,par_8_17767,9,,,,
132466_8__271___-1980807,19:08:00,19:08:00,par_8_15366,10,,,,
132466_8__271___-1980807,19:10:00,19:10:00,par_8_12040,11,,,,
132466_8__271___-1980807,19:11:00,19:11:00,par_8_08999,12,,,,
132466_8__271___-1980807,19:20:00,19:20:00,par_8_12416,13,,,,
132466_8__271___-1980807,19:22:00,19:22:00,par_8_06976,14,,,,
132466_8__271___-1980807,19:24:00,19:24:00,par_8_20659,15,,,,
132466_8__271___-1980807,19:30:01,19:30:01,par_8_20399,16,,,,
132466_8__271___-1980808,19:30:00,19:30:00,par_8_07026,0,,,,
132466_8__271___-1980808,19:30:00,19:30:00,par_8_12245,1,,,,
132466_8__271___-1980808,19:33:00,19:33:00,par_8_09465,2,,,,
132466_8__271___-1980808,19:35:00,19:35:00,par_8_07219,3,,,,
132466_8__271___-1980808,19:36:00,19:36:00,par_8_12415,4,,,,
