shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
720_001,40.645684118140785,-3.7765985720591364,1
720_001,40.64570854080612,-3.7766093008963346,2
720_001,40.6467546365808,-3.776620029733513,3
720_001,40.6469215219388,-3.7763357155478188,4
720_001,40.64714132152961,-3.776282071361826,5
720_001,40.64725122105352,-3.776534199035944,6
720_001,40.647198306490516,-3.776786326710063,7
720_001,40.647125040103255,-3.7768506997332545,8
720_001,40.64708433652,-3.7789803739167387,9
720_001,40.647019210735195,-3.7819629906573464,10
720_001,40.64711282903089,-3.783164620423356,11
720_001,40.64711282903089,-3.7841409446082346,12
720_001,40.64704363291194,-3.7879389529757606,13
720_001,40.64721865825051,-3.788083792277913,14
720_001,40.650226580125995,-3.788056970184926,15
720_001,40.65312040676,-3.788132072045296,16
720_001,40.65383646735332,-3.787606358031335,17
720_001,40.65435741862745,-3.7865871184976623,18
720_001,40.65417020223154,-3.784173130128464,19
720_001,40.653877146175624,-3.78289103442626,20
720_001,40.6543818174763,-3.779264687453852,21
720_001,40.65415797180595,-3.776577113736158,22
720_001,40.65428006953743,-3.7755042300165114,23
720_001,40.654129452426,-3.775268196390587,24
720_001,40.65417829156628,-3.774898051507303,25
720_001,40.65316894206867,-3.771405814999869,26
720_001,40.65297361855307,-3.7713253490210294,27
720_001,40.65297361855307,-3.7709337464633483,28
720_001,40.6529776885533,-3.770772813905408,29
720_001,40.65253406304291,-3.768321274902187,30
720_001,40.65249336456966,-3.767119645304443,31
720_001,40.65261546534729,-3.7660038462360017,32
720_001,40.652513714714765,-3.7655317773993606,33
720_001,40.652770126011546,-3.765129446004501,34
720_001,40.653360275252346,-3.7624526011239854,35
720_001,40.65428822350195,-3.7610149369396644,36
720_001,40.65663233610199,-3.7586653222928184,37
720_001,40.657922442989786,-3.7576085318289607,38
720_001,40.65811778823012,-3.757179378341114,39
720_001,40.65842287949399,-3.757265209393959,40
720_001,40.6584879941492,-3.757447599626296,41
720_001,40.659045535782404,-3.7575656168354414,42
720_001,40.661047763669586,-3.757844566602566,43
720_001,40.66160528390842,-3.757688998463216,44
720_001,40.66191049374426,-3.75733494683572,45
720_001,40.662382548873225,-3.757351040091528,46
720_001,40.66249633230309,-3.7578928463454897,47
720_001,40.66194695841827,-3.7584185593681245,48
720_001,40.66170686026253,-3.7587457889026137,49
720_001,40.66107608980359,-3.7618625161081747,50
720_001,40.66114125093477,-3.762130736757286,51
720_001,40.661035443796315,-3.7622916693152257,52
720_001,40.66027444135601,-3.763321637686097,53
720_001,40.660034337180065,-3.7636435028019775,54
720_001,40.66001805889956,-3.763852715127321,55
720_001,40.66042908426598,-3.7641584869874127,56
720_001,40.66119008494207,-3.764748573033219,57
720_001,40.6618371321636,-3.765397667683608,58
720_001,40.66195918415699,-3.765692710181262,59
720_001,40.66208940650016,-3.7668836111100727,60
720_001,40.66193476743935,-3.7675756211092364,61
720_001,40.66202836480844,-3.768047689945898,62
720_001,40.66485250191429,-3.769598006920774,63
720_001,40.665271635991466,-3.76971065971133,64
720_001,40.66538964413996,-3.769764303897323,65
720_001,40.66538557489692,-3.770059346920217,66
720_001,40.666362186101765,-3.7709069250587306,67
