route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__827___,6044_8__827___,6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,CANILLEJAS-ÁREA INTERMODAL,827 ALCOBENDAS,1,,8__827____2_A2_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,CANILLEJAS-ÁREA INTERMODAL,827 ALCOBENDAS,1,,8__827____2_A2_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_06:00:00_1_A1__1_8__827___,AV.PARQUE-PZA.PUERTA MADRID,827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_A1_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_06:05:00_2_A2__4_8__827___,CANILLEJAS-ÁREA INTERMODAL,827 ALCOBENDAS,1,,8__827____2_A2_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_06:15:00_1_nu__2_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_06:20:00_2_nu__5_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_06:25:00_1_A1__3_8__827___,AV.PARQUE-PZA.PUERTA MADRID,827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_A1_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_06:35:00_1_nu__4_8__827___,AV.PARQUE-PZA.PUERTA MADRID,sdf 827 U. AUTONOMA-TRES CANTOS,0,,8__827____1_nu_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_06:35:00_2_A2__6_8__827___,CANILLEJAS-ÁREA INTERMODAL,827 ALCOBENDAS,1,,8__827____2_A2_IT_2,0
8__827___,6044_8__827___,6044_8__827___-8__827____7_06:40:00_2_nu__7_8__827___,CANILLEJAS-ÁREA INTERMODAL,sdf 827 MADRID (Canillejas),1,,8__827____2_nu_IT_2,0
