trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:30:00,05:30:00,par_8_11330,0,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:31:36,05:31:36,par_8_07373,1,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:33:12,05:33:12,par_8_12724,2,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:34:48,05:34:48,par_8_06772,3,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:36:24,05:36:24,par_8_07365,4,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:38:00,05:38:00,par_8_06770,5,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:39:36,05:39:36,par_8_06763,6,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:41:12,05:41:12,par_8_10614,7,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:42:48,05:42:48,par_8_06769,8,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:44:24,05:44:24,par_8_06792,9,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:46:00,05:46:00,par_8_06790,10,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:47:36,05:47:36,par_8_12925,11,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:49:12,05:49:12,par_8_07236,12,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:50:48,05:50:48,par_8_06841,13,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:51:36,05:51:36,par_8_18823,14,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:52:24,05:52:24,par_8_07369,15,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:54:00,05:54:00,par_8_16646,16,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:55:36,05:55:36,par_8_16645,17,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:57:12,05:57:12,par_8_07363,18,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,05:58:48,05:58:48,par_8_1322,19,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,06:00:24,06:00:24,par_8_1316,20,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,06:02:00,06:02:00,par_8_1314,21,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,06:03:36,06:03:36,par_8_4921,22,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,06:05:12,06:05:12,par_8_07384,23,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,06:06:48,06:06:48,par_8_07385,24,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,06:08:24,06:08:24,par_8_07386,25,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,06:09:12,06:09:12,par_8_07396,26,,,,
6044_8__827___-8__827____7_05:30:00_2_A2__1_8__827___,06:10:00,06:10:00,par_8_4593,27,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,05:50:00,05:50:00,par_8_11330,0,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,05:51:36,05:51:36,par_8_07373,1,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,05:53:12,05:53:12,par_8_12724,2,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,05:54:48,05:54:48,par_8_06772,3,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,05:56:24,05:56:24,par_8_07365,4,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,05:58:00,05:58:00,par_8_06770,5,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,05:59:36,05:59:36,par_8_06763,6,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:01:12,06:01:12,par_8_10614,7,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:02:48,06:02:48,par_8_06769,8,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:04:24,06:04:24,par_8_06792,9,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:06:00,06:06:00,par_8_06790,10,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:07:36,06:07:36,par_8_12925,11,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:09:12,06:09:12,par_8_07236,12,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:10:48,06:10:48,par_8_06841,13,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:11:36,06:11:36,par_8_18823,14,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:12:24,06:12:24,par_8_07369,15,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:14:00,06:14:00,par_8_16646,16,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:15:36,06:15:36,par_8_16645,17,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:17:12,06:17:12,par_8_07363,18,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:18:48,06:18:48,par_8_1322,19,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:20:24,06:20:24,par_8_1316,20,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:22:00,06:22:00,par_8_1314,21,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:23:36,06:23:36,par_8_4921,22,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:25:12,06:25:12,par_8_07384,23,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:26:48,06:26:48,par_8_07385,24,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:28:24,06:28:24,par_8_07386,25,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:29:12,06:29:12,par_8_07396,26,,,,
6044_8__827___-8__827____7_05:50:00_2_A2__2_8__827___,06:30:00,06:30:00,par_8_4593,27,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:50:00,05:50:00,par_8_09097,0,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:50:42,05:50:42,par_8_11535,1,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:51:24,05:51:24,par_8_11632,2,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:52:06,05:52:06,par_8_06647,3,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:52:48,05:52:48,par_8_06648,4,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:53:30,05:53:30,par_8_06650,5,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:54:12,05:54:12,par_8_06652,6,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:54:54,05:54:54,par_8_06654,7,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:55:36,05:55:36,par_8_06656,8,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:56:18,05:56:18,par_8_06658,9,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:57:00,05:57:00,par_8_06636,10,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:57:42,05:57:42,par_8_06638,11,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:58:24,05:58:24,par_8_06641,12,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:59:06,05:59:06,par_8_06643,13,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,05:59:48,05:59:48,par_8_08395,14,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:00:30,06:00:30,par_8_06660,15,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:01:12,06:01:12,par_8_08398,16,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:01:54,06:01:54,par_8_08399,17,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:02:36,06:02:36,par_8_09681,18,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:03:18,06:03:18,par_8_12508,19,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:04:00,06:04:00,par_8_09645,20,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:04:42,06:04:42,par_8_09683,21,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:05:24,06:05:24,par_8_13189,22,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:06:06,06:06:06,par_8_11534,23,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:06:48,06:06:48,par_8_09096,24,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:07:30,06:07:30,par_8_12875,25,,,,
6044_8__827___-8__827____7_05:50:00_2_nu__3_8__827___,06:08:12,06:08:12,par_8_09679,26,,,,
