stop_id,stop_name,stop_lat,stop_lon
STOP_1,STOP_1,40.28518251495859,-3.816268442562879
STOP_2,STOP_2,40.286211674207614,-3.7889099138010423
STOP_3,STOP_3,40.29361012716803,-3.792686464494191
STOP_4,STOP_4,40.280318521657684,-3.783416749156468
STOP_5,STOP_5,40.28673548512721,-3.8006687193683346
STOP_6,STOP_6,40.29334824885501,-3.810453418891494
STOP_7,STOP_7,40.27710981150156,-3.802299502622191
STOP_8,STOP_8,40.29210431300924,-3.8010120421586118
STOP_9,STOP_9,40.29446122467641,-3.785476685898171
STOP_10,STOP_10,40.27946724604908,-3.79277229519176
STOP_11,STOP_11,40.28090786003083,-3.8089942970327755
