route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__580___,801_8__580___,801_8__580___-8__580____1_07:15:00_2_lr__1_8__580___,J.RODRIGO-HOSPITAL PUERTA DE HIERRO,lv 580 MAJADAHONDA (Hospital),1,,8__580____2_lr_IT_2,0
8__580___,801_8__580___,801_8__580___-8__580____1_08:00:00_1_lr__1_8__580___,ANTONIO MACHADO-CAMINO RAYA,lv 580 BRUNETE,0,,8__580____1_lr_IT_2,0
8__580___,801_8__580___,801_8__580___-8__580____1_08:45:00_2_lr__2_8__580___,J.RODRIGO-HOSPITAL PUERTA DE HIERRO,lv 580 MAJADAHONDA (Hospital),1,,8__580____2_lr_IT_2,0
8__580___,801_8__580___,801_8__580___-8__580____1_09:30:00_1_-__2_8__580___,REAL DE SAN SEBASTIÁN-AMARGURA,lv 580 BRUNETE,0,,8__580____1_-_IT_1,0
8__580___,801_8__580___,801_8__580___-8__580____1_10:15:00_2_-__3_8__580___,J.RODRIGO-HOSPITAL PUERTA DE HIERRO,lv 580 MAJADAHONDA (Hospital),1,,8__580____2_-_IT_1,0
8__580___,801_8__580___,801_8__580___-8__580____1_11:00:00_1_-__3_8__580___,REAL DE SAN SEBASTIÁN-AMARGURA,lv 580 BRUNETE,0,,8__580____1_-_IT_1,0
8__580___,801_8__580___,801_8__580___-8__580____1_11:45:00_2_-__4_8__580___,J.RODRIGO-HOSPITAL PUERTA DE HIERRO,lv 580 MAJADAHONDA (Hospital),1,,8__580____2_-_IT_1,0
8__580___,801_8__580___,801_8__580___-8__580____1_12:30:00_1_-__4_8__580___,REAL DE SAN SEBASTIÁN-AMARGURA,lv 580 BRUNETE,0,,8__580____1_-_IT_1,0
8__580___,801_8__580___,801_8__580___-8__580____1_13:15:00_2_-__5_8__580___,J.RODRIGO-HOSPITAL PUERTA DE HIERRO,lv 580 MAJADAHONDA (Hospital),1,,8__580____2_-_IT_1,0
8__580___,801_8__580___,801_8__580___-8__580____1_14:00:00_1_lr__5_8__580___,ANTONIO MACHADO-CAMINO RAYA,lv 580 BRUNETE,0,,8__580____1_lr_IT_2,0
8__580___,801_8__580___,801_8__580___-8__580____1_14:45:00_2_lr__6_8__580___,J.RODRIGO-HOSPITAL PUERTA DE HIERRO,lv 580 MAJADAHONDA (Hospital),1,,8__580____2_lr_IT_2,0
8__580___,801_8__580___,801_8__580___-8__580____1_15:30:00_1_-__6_8__580___,REAL DE SAN SEBASTIÁN-AMARGURA,lv 580 BRUNETE,0,,8__580____1_-_IT_1,0
