route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__421___,942101_8__421___,942101_8__421___-8__421____1_05:40:00_2_-__1_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_06:30:00_1_-__1_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_07:15:00_2_-__7_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_08:10:00_1_-__7_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_09:00:00_2_-__13_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_09:50:00_1_-__13_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_10:40:00_2_-__18_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_11:30:00_1_-__18_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_12:20:00_2_-__23_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_13:10:00_1_-__23_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_14:00:00_2_-__28_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_14:50:00_1_-__28_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_15:40:00_2_-__33_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_16:30:00_1_-__33_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_17:20:00_2_-__38_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_18:10:00_1_-__38_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_19:00:00_2_-__43_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942101_8__421___,942101_8__421___-8__421____1_19:50:00_1_-__43_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_06:00:00_2_-__2_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_06:45:00_1_-__2_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_07:30:00_2_-__8_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_08:30:00_1_-__8_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_09:20:00_2_-__14_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_10:10:00_1_-__14_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_11:00:00_2_-__19_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_11:50:00_1_-__19_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_12:40:00_2_-__24_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_13:30:00_1_-__24_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_14:40:00_2_-__30_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_15:30:00_1_-__30_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_16:20:00_2_-__35_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_17:10:00_1_-__35_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_18:00:00_2_-__40_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_18:50:00_1_-__40_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_19:40:00_2_-__45_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942102_8__421___,942102_8__421___-8__421____1_20:30:00_1_-__45_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
8__421___,942103_8__421___,942103_8__421___-8__421____1_06:15:00_2_-__3_8__421___,PºDELICIAS-PLAZA DE LEGAZPI,421 MADRID (Legazpi),1,,8__421____2_-_IT_1,0
8__421___,942103_8__421___,942103_8__421___-8__421____1_07:05:00_1_-__3_8__421___,SUR-POLIDEPORTIVO,421 PINTO,0,,8__421____1_-_IT_1,0
