shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
seseña_001,40.39064030339692,-3.695697761031621,1
seseña_001,40.38789448262564,-3.6993026503296305,2
seseña_001,40.369576119733445,-3.6942386541795784,3
seseña_001,40.27705244133317,-3.69020460200773,4
seseña_001,40.215350880270414,-3.684883079185971,5
seseña_001,40.18125880013459,-3.7065124149739908,6
seseña_001,40.15633451763505,-3.6708068447842273,7
seseña_001,40.11774943378957,-3.6780166233802474,8
seseña_001,40.106458498944185,-3.686256370347099,9
