trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
93406_8__571___-956639,06:30:00,06:30:00,par_8_15782,0,,,,
93406_8__571___-956639,06:32:32,06:32:32,par_8_08458,1,,,,
93406_8__571___-956639,06:34:44,06:34:44,par_8_08409,2,,,,
93406_8__571___-956639,06:36:05,06:36:05,par_8_08654,3,,,,
93406_8__571___-956639,06:39:20,06:39:20,par_8_10471,4,,,,
93406_8__571___-956639,06:41:51,06:41:51,par_8_21156,5,,,,
93406_8__571___-956639,06:43:49,06:43:49,par_8_08774,6,,,,
93406_8__571___-956639,06:50:43,06:50:43,par_8_18271,7,,,,
93406_8__571___-956639,06:52:05,06:52:05,par_8_08759,8,,,,
93406_8__571___-956639,06:53:44,06:53:44,par_8_08758,9,,,,
93406_8__571___-956639,06:55:04,06:55:04,par_8_08768,10,,,,
93406_8__571___-956639,06:56:14,06:56:14,par_8_08747,11,,,,
93406_8__571___-956639,06:56:41,06:56:41,par_8_11979,12,,,,
93406_8__571___-956639,06:58:02,06:58:02,par_8_08746,13,,,,
93406_8__571___-956639,07:02:51,07:02:51,par_8_08918,14,,,,
93406_8__571___-956639,07:11:07,07:11:07,par_8_15568,15,,,,
93406_8__571___-956639,07:11:50,07:11:50,par_8_15065,16,,,,
93406_8__571___-956639,07:12:55,07:12:55,par_8_17338,17,,,,
93406_8__571___-956639,07:14:04,07:14:04,par_8_11645,18,,,,
93406_8__571___-956639,07:14:41,07:14:41,par_8_15075,19,,,,
93406_8__571___-956639,07:15:37,07:15:37,par_8_13292,20,,,,
93406_8__571___-956639,07:16:41,07:16:41,par_8_13290,21,,,,
93406_8__571___-956639,07:18:16,07:18:16,par_8_12184,22,,,,
93406_8__571___-956639,07:19:13,07:19:13,par_8_12187,23,,,,
93406_8__571___-956639,07:20:24,07:20:24,par_8_12188,24,,,,
93406_8__571___-956639,07:21:39,07:21:39,par_8_15304,25,,,,
93406_8__571___-956639,07:22:49,07:22:49,par_8_10479,26,,,,
93406_8__571___-956639,07:23:31,07:23:31,par_8_08872,27,,,,
93406_8__571___-956639,07:25:00,07:25:00,par_8_08874,28,,,,
93406_8__571___-956640,07:30:00,07:30:00,par_8_08875,0,,,,
93406_8__571___-956640,07:31:20,07:31:20,par_8_08873,1,,,,
93406_8__571___-956640,07:32:08,07:32:08,par_8_15542,2,,,,
