shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8_N_701____1_a._IT_2,40.467287656972,-3.68885294739251,1000001,0
8_N_701____1_a._IT_2,40.46714012175,-3.68889343058032,1000002,0.016732748314
8_N_701____1_a._IT_2,40.4670381806376,-3.68892368074341,1000003,0.045068326803
8_N_701____1_a._IT_2,40.4670111041876,-3.68893425969746,1000004,0.076540456637
8_N_701____1_a._IT_2,40.4669956333438,-3.68894419169057,1000005,0.109925229577
8_N_701____1_a._IT_2,40.4669839612865,-3.6889632416791,1000006,0.145380519121
8_N_701____1_a._IT_2,40.4669753108577,-3.68899241379406,1000007,0.183488857698
8_N_701____1_a._IT_2,40.4669751304401,-3.68902267981749,1000008,0.224163196275
8_N_701____1_a._IT_2,40.4669993305748,-3.68914337936813,1000009,0.275417045307
8_N_701____1_a._IT_2,40.4670083662811,-3.68917878464765,1000010,0.329835659204
8_N_701____1_a._IT_2,40.4670175042449,-3.68919703878671,1000011,0.386104642015
8_N_701____1_a._IT_2,40.4670351474086,-3.68921033483262,1000012,0.444633314506
8_N_701____1_a._IT_2,40.4670610876533,-3.68921021428287,1000013,0.506041472677
8_N_701____1_a._IT_2,40.4671446566154,-3.68918514027998,1000014,0.576966554499
8_N_701____1_a._IT_2,40.4675071431933,-3.68907288792045,1000015,0.689239126882
8_N_701____1_a._IT_2,40.4677586803786,-3.68900193154103,1000016,0.830073960298
8_N_701____1_a._IT_2,40.4680415254472,-3.68892493420488,1000017,1.002977092411
8_N_701____1_a._IT_2,40.4682213435023,-3.68887883999394,1000018,1.19621964939
8_N_701____1_a._IT_2,40.4683648462502,-3.688839722218,1000019,1.405733114434
8_N_701____1_a._IT_2,40.4684382272849,-3.68881790506188,1000020,1.623599512281
8_N_701____1_a._IT_2,40.4684772207526,-3.68878163087004,1000021,1.846775548318
8_N_701____1_a._IT_2,40.4684991509773,-3.68871697452856,1000022,2.075949206575
8_N_701____1_a._IT_2,40.4684854302512,-3.68848834459042,1000023,2.324565182586
8_N_701____1_a._IT_2,40.468496939927,-3.68836434455596,1000024,2.583770867911
8_N_701____1_a._IT_2,40.4685232599371,-3.68828562720679,1000025,2.850261499786
8_N_701____1_a._IT_2,40.4685794352302,-3.68822573549219,1000026,3.124793526294
8_N_701____1_a._IT_2,40.4688478470315,-3.68815485039573,1000027,3.429720294637
8_N_701____1_a._IT_2,40.4690795827063,-3.68809783185881,1000028,3.760820857731
8_N_701____1_a._IT_2,40.4701840293267,-3.68777654587857,1000029,4.217508470455
8_N_701____1_a._IT_2,40.4713474195201,-3.68746178908464,1000030,4.806064806998
8_N_701____1_a._IT_2,40.4715717618572,-3.68739843389233,1000031,5.420096607996
8_N_701____1_a._IT_2,40.4728290277374,-3.68704336682975,1000032,6.176898874689
8_N_701____1_a._IT_2,40.4736288640197,-3.68682584205152,1000033,7.024380805129
8_N_701____1_a._IT_2,40.4751962822254,-3.68647359310096,1000034,8.048396071382
8_N_701____1_a._IT_2,40.4758233616057,-3.68631368643689,1000035,9.143327172239
8_N_701____1_a._IT_2,40.4759732894014,-3.68627957694637,1000036,10.255150156728
8_N_701____1_a._IT_2,40.4761210356491,-3.68625556013719,1000037,11.383499441459
8_N_701____1_a._IT_2,40.4762870369245,-3.68626474049276,1000038,12.530291957505
8_N_701____1_a._IT_2,40.4765047214357,-3.68627426429082,1000039,13.701261809067
8_N_701____1_a._IT_2,40.4765102965355,-3.68627450745698,1000040,14.872850862245
8_N_701____1_a._IT_2,40.4766878373749,-3.68626881795877,1000041,16.06415356125
8_N_701____1_a._IT_2,40.4768770085954,-3.68623326712082,1000042,17.276670158128
8_N_701____1_a._IT_2,40.4784424859434,-3.68585194154098,1000043,18.665941663978
8_N_701____1_a._IT_2,40.4787116450745,-3.6857865814767,1000044,20.085600238054
8_N_701____1_a._IT_2,40.4787116450745,-3.6857865814767,2000001,20.085600238054
8_N_701____1_a._IT_2,40.4794806344382,-3.68559455097546,2000002,20.172499242591
8_N_701____1_a._IT_2,40.4800388373222,-3.68543169614833,2000003,20.322880044297
8_N_701____1_a._IT_2,40.4801649899117,-3.68539489043103,2000004,20.48760760229
8_N_701____1_a._IT_2,40.480336026596,-3.68534126866388,2000005,20.671857386791
8_N_701____1_a._IT_2,40.4806521219451,-3.68526512787923,2000006,20.891783644885
8_N_701____1_a._IT_2,40.4810668009642,-3.68517991900852,2000007,21.158304132591
8_N_701____1_a._IT_2,40.4811883663761,-3.68514975288268,2000008,21.438558985609
8_N_701____1_a._IT_2,40.4812476451618,-3.68513563610314,2000009,21.725501932845
8_N_701____1_a._IT_2,40.4813114424072,-3.68511763996028,2000010,22.019689050578
8_N_701____1_a._IT_2,40.4813727003743,-3.68510794400119,2000011,22.320725536898
8_N_701____1_a._IT_2,40.4814012281957,-3.68509729114358,2000012,22.625054944173
8_N_701____1_a._IT_2,40.4814299433903,-3.68508755218837,2000013,22.932677010106
8_N_701____1_a._IT_2,40.4814588342263,-3.68507873055688,2000014,23.243592091673
8_N_701____1_a._IT_2,40.481487878134,-3.68507083427956,2000015,23.557799904959
8_N_701____1_a._IT_2,40.4815170615801,-3.68506386675947,2000016,23.875300591996
8_N_701____1_a._IT_2,40.4815463665337,-3.68505783017415,2000017,24.196094243172
8_N_701____1_a._IT_2,40.4815757740355,-3.68505273141099,2000018,24.52018073128
8_N_701____1_a._IT_2,40.4816052687364,-3.68504857621434,2000019,24.847560140765
8_N_701____1_a._IT_2,40.4816348290581,-3.68504535728705,2000020,25.178232190481
