stop_id,stop_name,stop_lat,stop_lon
STOP_1,STOP_1,40.66458794397653,-3.7850528950553923
STOP_2,STOP_2,40.46621442979204,-3.6889171558709704
STOP_3,STOP_3,40.47137308423354,-3.687629695407391
STOP_4,STOP_4,40.478328593186255,-3.685870161734788
STOP_5,STOP_5,40.48221324481197,-3.6853551775493525
STOP_6,STOP_6,40.49145063099844,-3.6984872742777934
STOP_7,STOP_7,40.50887743028868,-3.6904191887060804
STOP_8,STOP_8,40.523037449102866,-3.687887183127717
STOP_9,STOP_9,40.53396383412723,-3.693208686786425
STOP_10,STOP_10,40.551314367125855,-3.705782883980656
STOP_11,STOP_11,40.57068164404295,-3.7102889956031535
STOP_12,STOP_12,40.589130771681944,-3.711705202113076
STOP_13,STOP_13,40.609627454694945,-3.721446986287441
STOP_14,STOP_14,40.61689265523199,-3.729085918371307
STOP_15,STOP_15,40.63467765869411,-3.7298583946494506
STOP_16,STOP_16,40.65105782027278,-3.7363815276648964
STOP_17,STOP_17,40.65724411163656,-3.7459945657928966
STOP_18,STOP_18,40.65828595690199,-3.757495879267481
STOP_19,STOP_19,40.654574308877926,-3.774962426223281
STOP_20,STOP_20,40.66479712117606,-3.7732458122718553
STOP_21,STOP_21,40.670526419975005,-3.785433771327014
STOP_22,STOP_22,40.66401581502206,-3.785433771327014
