route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__261___,9999_8__261___,9999_8__261___-8__261____1_01:30:00_2_sn_v._39_8__261___,AV.AMERICA-FCO.SILVELA,vsvf 261 MADRID (Av.de América),1,,8__261____2_sn_IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_03:00:00_1_sn_v._38_8__261___,C7-C19,vsvf 261 NUEVO BAZTÁN (urb. Monteacevedo),0,,8__261____1_sn_IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_05:30:00_2_-__1_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av.de América),1,,8__261____2_-_IT_1,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_05:45:00_2_n.__2_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av. de América),1,,8__261____2_n._IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_06:00:00_2_ta__3_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av.de América),1,,8__261____2_ta_IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_06:05:00_2_-__5_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av.de América),1,,8__261____2_-_IT_1,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_06:05:00_2_n.__4_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av. de América),1,,8__261____2_n._IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_06:30:00_1_nb__1_8__261___,CTRA.M204-TRANSFORMADOR,261 NUEVO BAZTÁN,0,,8__261____1_nb_IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_06:30:00_1_tn__2_8__261___,CTRA.M204-TRANSFORMADOR,261 NUEVO BAZTÁN (urb. Monteacevedo),0,,8__261____1_tn_IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_06:40:00_2_ta__6_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av.de América),1,,8__261____2_ta_IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_06:45:00_2_n.__7_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av. de América),1,,8__261____2_n._IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_07:10:00_1_n.__3_8__261___,C7-C19,261 NUEVO BAZTÁN (urb. Monteacevedo),0,,8__261____1_n._IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_07:10:00_2_ta__8_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av.de América),1,,8__261____2_ta_IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_07:15:00_2_n.__9_8__261___,INTERCAMBIADOR DE AVENIDA AMÉRICA,261 MADRID (Av. de América),1,,8__261____2_n._IT_2,0
8__261___,9999_8__261___,9999_8__261___-8__261____1_07:20:00_1_ta__4_8__261___,MAYOR-SAUCES,261 TORRES DE LA ALAMEDA,0,,8__261____1_ta_IT_2,0
