trip_id,arrival_time,departure_time,stop_id,stop_sequence
1A,06:00:00,06:00:00,1,1
1A,06:05:00,06:05:00,2,2
1A,06:08:00,06:08:00,3,3
1A,06:12:00,06:12:00,4,4
1A,06:16:00,06:16:00,5,5
1A,06:20:00,06:20:00,6,6
1A,06:23:00,06:23:00,7,7
1A,06:26:00,06:26:00,8,8
1A,06:29:00,06:29:00,9,9
1A,06:32:00,06:32:00,10,10
1A,06:36:00,06:36:00,11,11
1A,06:40:00,06:40:00,12,12
1A,06:43:00,06:43:00,13,13
1A,06:46:00,06:46:00,14,14
1A,06:50:00,06:50:00,15,15
