shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
725_001,40.46662848414765,-3.6888058482348622,1
725_001,40.466810103778634,-3.688754886258183,2
725_001,40.46953592802883,-3.6879837505745154,3
725_001,40.46996853053449,-3.6878710977839595,4
725_001,40.47065824008683,-3.6879676573187274,5
725_001,40.471768290290115,-3.687683343133013,6
725_001,40.477290651146966,-3.6861276611511977,7
725_001,40.48093053469932,-3.685183523477915,8
725_001,40.481632372957684,-3.685086963943147,9
725_001,40.48253006236045,-3.68531226952428,10
725_001,40.483027866763905,-3.6867392048714014,11
725_001,40.483631755674686,-3.6886596667295617,12
725_001,40.48451309730725,-3.6909019937036223,13
725_001,40.48563107883865,-3.693788050909462,14
725_001,40.48703464972443,-3.696159123929866,15
725_001,40.48816890940227,-3.6974143978818486,16
725_001,40.48986618304304,-3.6981010434624233,17
725_001,40.492118268335666,-3.698573112299065,18
725_001,40.49273023497516,-3.6988091467173945,19
725_001,40.49373384818208,-3.699603080669936,20
725_001,40.4952433194533,-3.700740337412754,21
725_001,40.49578182531008,-3.700836896947522,22
725_001,40.49715254798811,-3.700525760668821,23
725_001,40.498841435634745,-3.699227571368063,24
725_001,40.5005221221958,-3.6970067020684,25
725_001,40.5019335400314,-3.6957406992792183,26
725_001,40.50679576946765,-3.691653012307368,27
725_001,40.5093980595375,-3.689271210449766,28
725_001,40.510434052873705,-3.6877262578934786,29
725_001,40.511600545899405,-3.6853981002218488,30
725_001,40.51257673663441,-3.6847972859902627,31
725_001,40.514273392839826,-3.684539793897555,32
725_001,40.51602016427635,-3.685376642188199,33
725_001,40.52000050853787,-3.68705034079085,34
725_001,40.52259413029081,-3.6876296979994576,35
725_001,40.523670698526836,-3.6873722059067497,36
725_001,40.52515502940573,-3.6886811240447064,37
725_001,40.527047095835734,-3.6901617035778216,38
725_001,40.528906488390604,-3.691813944506076,39
725_001,40.532005361341405,-3.6932086933416013,40
725_001,40.53301654150436,-3.693037031946463,41
725_001,40.53368521677863,-3.6928009975281326,42
725_001,40.5364891139375,-3.6937880483969914,43
725_001,40.537092521619265,-3.6938524214201633,44
725_001,40.5377937723674,-3.6947536437446713,45
725_001,40.538707018151605,-3.69516133955812,46
725_001,40.538804865175834,-3.695311543278881,47
725_001,40.540044248446144,-3.696169850254594,48
725_001,40.54090854162973,-3.6975002260669476,49
725_001,40.54131622322317,-3.6986160251353892,50
725_001,40.54266970832054,-3.7013411497832687,51
725_001,40.54430037693311,-3.7026500679212453,52
725_001,40.54721917461954,-3.7039589860592024,53
725_001,40.54821381963159,-3.703401086524991,54
725_001,40.54867037305123,-3.703122136757887,55
725_001,40.549094312725394,-3.7032508828042503,56
725_001,40.54932258682296,-3.7038087823384607,57
725_001,40.550121540036756,-3.7052464465227812,58
725_001,40.55106584102444,-3.7056648720192724,59
725_001,40.553160682471564,-3.707499502930882,60
725_001,40.554285671815784,-3.7087440480456673,61
725_001,40.55618506744786,-3.7103319159507495,62
725_001,40.558320804183985,-3.711490630367965,63
725_001,40.56035865739405,-3.7113296978100245,64
725_001,40.56176881549833,-3.711200951763661,65
725_001,40.56424670921949,-3.710492848508689,66
725_001,40.56565678541584,-3.710170983392809,67
725_001,40.5686154036465,-3.7101602545556105,68
725_001,40.57123159344278,-3.710020779672048,69
725_001,40.57353799369321,-3.708926438278005,70
725_001,40.57674889204461,-3.7068879592106994,71
725_001,40.57832983613938,-3.7059009061886226,72
725_001,40.580002696552725,-3.705589769383542,73
725_001,40.58414220778735,-3.706061838220203,74
725_001,40.58627705242626,-3.7071990949630207,75
725_001,40.58803702576714,-3.7093877777510884,76
725_001,40.59031532111317,-3.7118768661548573,77
725_001,40.59328099628205,-3.7126493424330014,78
725_001,40.5952363145501,-3.7141728373148912,79
725_001,40.59640947806357,-3.7164473508005273,80
725_001,40.59797366405933,-3.7182712531239397,81
725_001,40.59971703657301,-3.7195801712618963,82
725_001,40.602454202619555,-3.7203311898656426,83
725_001,40.607390593729136,-3.7209534624230445,84
725_001,40.609101139248224,-3.7210822084693893,85
725_001,40.61050212486686,-3.7221121768402607,86
725_001,40.61261983806811,-3.723785875442891,87
725_001,40.614444275621764,-3.725287912650404,88
725_001,40.61542163239033,-3.7274122224152992,89
725_001,40.61696908470101,-3.7289786326459833,90
725_001,40.61978698473742,-3.7298798549704704,91
725_001,40.62332140805821,-3.730094431714404,92
725_001,40.626741639657844,-3.7300729740400063,93
725_001,40.62975455571482,-3.730008601016835,94
725_001,40.63407011757697,-3.7295794475289683,95
725_001,40.63576369583291,-3.7301373470631987,96
725_001,40.637212973882114,-3.7307381619461837,97
725_001,40.64009515245532,-3.731145857759653,98
725_001,40.64278181702325,-3.730223177760768,99
725_001,40.64398671025066,-3.730652331248615,100
725_001,40.64605451684946,-3.733227252175773,101
725_001,40.647438446107664,-3.734493254964955,102
725_001,40.64988060420214,-3.7354159349638394,103
725_001,40.650854767464644,-3.735716339035658,104
725_001,40.65189671250578,-3.736746307406529,105
725_001,40.65245023919123,-3.737776275777381,106
725_001,40.65350843919165,-3.74026536600695,107
725_001,40.654664300014225,-3.7429046599572806,108
725_001,40.655429436304274,-3.744063374374496,109
725_001,40.656455030758984,-3.744599816234309,110
725_001,40.657366657038615,-3.745050427396573,111
725_001,40.6577573502022,-3.7464666339064956,112
725_001,40.657789907862565,-3.7494707083215015,113
725_001,40.657853855122916,-3.752356766294727,114
725_001,40.658138733700156,-3.7572491160562964,115
725_001,40.658578258261514,-3.7574422351258323,116
725_001,40.661524625915895,-3.7578499309393014,117
725_001,40.66203737826238,-3.7573027602422897,118
725_001,40.662476877136434,-3.757270573730694,119
725_001,40.662623376117565,-3.7575817100093953,120
725_001,40.66229782238917,-3.7581717960552012,121
725_001,40.66185018341811,-3.7584400169851073,122
725_001,40.6616060154404,-3.7590515607053114,123
725_001,40.66130487370364,-3.760854005354307,124
725_001,40.66112581581025,-3.7619590755855286,125
725_001,40.6611583718266,-3.762238025352654,126
