stop_id,stop_name,stop_lat,stop_lon
STOP_1,STOP_1,40.46662181727599,-3.6887830487592153
STOP_2,STOP_2,40.87112254829016,-3.6631572152407426
STOP_3,STOP_3,40.86777123922462,-3.6687469446837944
STOP_4,STOP_4,40.86585636913879,-3.670592304681584
STOP_5,STOP_5,40.86454189236932,-3.6806559539718275
STOP_6,STOP_6,40.86116632633034,-3.6967062944177047
STOP_7,STOP_7,40.85917011738792,-3.7063622478945
STOP_8,STOP_8,40.855340238950724,-3.7249016749819956
STOP_9,STOP_9,40.85587584407387,-3.733913898227011
STOP_10,STOP_10,40.855372699990546,-3.7479043019311646
STOP_11,STOP_11,40.848490603807605,-3.748848439604447
STOP_12,STOP_12,40.837971302167524,-3.75571489541017
STOP_13,STOP_13,40.83141212720068,-3.7579894088958063
STOP_14,STOP_14,40.8204855956888,-3.7531399716112888
STOP_15,STOP_15,40.81256046097036,-3.7562298767238627
STOP_16,STOP_16,40.80661598862545,-3.7712073334500933
STOP_17,STOP_17,40.78515774684963,-3.7725591639400617
STOP_18,STOP_18,40.77035489921276,-3.779876230898936
STOP_19,STOP_19,40.7635940032536,-3.7817645062455
STOP_20,STOP_20,40.75205338536887,-3.7820434560126253
STOP_21,STOP_21,40.74218691253839,-3.78592729339061
STOP_22,STOP_22,40.724105321315314,-3.7931370719866306
STOP_23,STOP_23,40.61658819817722,-3.725051796718618
STOP_24,STOP_24,40.54461780357875,-3.706512366043172
STOP_25,STOP_25,40.66452543690905,-3.767623822714084
