route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__510___,234_8__510___,234_8__510___-19003_2300,TAJO-UNIVERSIDAD,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Campodón y entrando ,0,,8__510____1_xnb_IT_2,0
8__510___,234_8__510___,234_8__510___-19002_2300,TAJO-UNIVERSIDAD,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Campodón y entrando ,0,,8__510____1_xnb_IT_2,0
8__510___,502_8__510___,502_8__510___-19045_2100,GUADIANA-RIO DUERO,lv 510 VILLAVICIOSA DE ODÓN (urb. El Bosque) por c. Ebro,0,,8__510____1_cm_IT_2,0
8__510___,502_8__510___,502_8__510___-19045_2200,BERLÍN-EST.ALCORCÓN CENTRAL,lv 510 ALCORCÓN (por c. Miño),1,,8__510____2_m._IT_2,0
8__510___,502_8__510___,502_8__510___-19045_2300,TAJO-UNIVERSIDAD,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Campodón y entrando ,0,,8__510____1_xnb_IT_2,0
8__510___,502_8__510___,502_8__510___-19004_615,AV.ALCALDE JOSÉ ARANDA-AV.POLVORANCA,510 ALCORCÓN (por urb. El Bosque y Campodón),1,,8__510____2_bc_IT_2,0
8__510___,503_8__510___,503_8__510___-19045_615,AV.ALCALDE JOSÉ ARANDA-AV.POLVORANCA,510 ALCORCÓN (por urb. El Bosque y Campodón),1,,8__510____2_bc_IT_2,0
8__510___,503_8__510___,503_8__510___-19045_730,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón,0,,8__510____1_x._IT_2,0
8__510___,503_8__510___,503_8__510___-19045_830,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,505_8__510___,505_8__510___-19045_1100,GUADIANA-RIO DUERO,lv 510 VILLAVICIOSA DE ODÓN (urb. El Bosque) por c. Ebro,0,,8__510____1_cm_IT_2,0
8__510___,505_8__510___,505_8__510___-19045_1200,BERLÍN-EST.ALCORCÓN CENTRAL,lv 510 ALCORCÓN (por c. Miño),1,,8__510____2_m._IT_2,0
8__510___,505_8__510___,505_8__510___-19045_1300,GUADIANA-RIO DUERO,lv 510 VILLAVICIOSA DE ODÓN (urb. El Bosque) por c. Ebro,0,,8__510____1_cm_IT_2,0
8__510___,505_8__510___,505_8__510___-19045_1400,BERLÍN-EST.ALCORCÓN CENTRAL,lv 510 ALCORCÓN (por c. Miño),1,,8__510____2_m._IT_2,0
8__510___,504_8__510___,504_8__510___-19004_2000,GUADIANA-RIO DUERO,lv 510 VILLAVICIOSA DE ODÓN (urb. El Bosque) por c. Ebro,0,,8__510____1_cm_IT_2,0
8__510___,504_8__510___,504_8__510___-19004_2100,BERLÍN-EST.ALCORCÓN CENTRAL,lv 510 ALCORCÓN (por c. Miño),1,,8__510____2_m._IT_2,0
8__510___,504_8__510___,504_8__510___-19004_2200,GUADIANA-RIO DUERO,lv 510 VILLAVICIOSA DE ODÓN (urb. El Bosque) por c. Ebro,0,,8__510____1_cm_IT_2,0
8__510___,504_8__510___,504_8__510___-19004_2300,BERLÍN-EST.ALCORCÓN CENTRAL,lv 510 ALCORCÓN (por c. Miño),1,,8__510____2_m._IT_2,0
8__510___,25_8__510___,25_8__510___-19048_1000,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19048_1000,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19048_1100,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19048_1100,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19048_1200,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19048_1200,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19048_615,AV.ALCALDE JOSÉ ARANDA-AV.POLVORANCA,510 ALCORCÓN (por urb. El Bosque y Campodón),1,,8__510____2_bc_IT_2,0
8__510___,25_8__510___,25_8__510___-19048_700,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19048_800,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19048_800,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19048_900,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19048_900,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19047_1000,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19047_1000,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19047_1100,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19047_1100,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19047_1200,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19047_1200,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19047_615,AV.ALCALDE JOSÉ ARANDA-AV.POLVORANCA,510 ALCORCÓN (por urb. El Bosque y Campodón),1,,8__510____2_bc_IT_2,0
8__510___,25_8__510___,25_8__510___-19047_700,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19047_800,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19047_800,BERLÍN-EST.ALCORCÓN CENTRAL,510 ALCORCÓN,1,,8__510____2_xc_IT_2,0
8__510___,25_8__510___,25_8__510___-19047_900,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
8__510___,27_8__510___,27_8__510___-19047_900,GUADIANA-COLEGIO,510 VILLAVICIOSA DE ODÓN (urb. El Bosque) sin paso por Hospital Alcorcón y por Cerrón,0,,8__510____1_xc_IT_2,0
