stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_20666,20666,RÍO GUADALQUIVIR-PºARROYOMOLINOS,Calle   Río Guadalquivir 1,40.3124656677246,-3.87507462501526,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_20798,20798,Cº HUMANES-AV ONU,Calle   Camino de Humanes 63,40.3100471496582,-3.85596704483032,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_20799,20799,Cº HUMANES-AV ONU,Calle   Camino de Humanes 63,40.3099403381348,-3.85622453689575,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_50050,50050,Pº EXTREMADURA-CUATRO VIENTOS,Paseo de Extremadura 8500,40.3797302246094,-3.7906539440155,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_08612,08612,AV.ONU-AV.ESTRELLA POLAR,Avda de la O.N.U. 84,40.3137702941895,-3.85221266746521,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09711,09711,AV.ONU-INSTITUTOS,Avda de la O.N.U. 84,40.3138236999512,-3.85243678092957,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_18983,18983,AV.ONU-SAO PAULO,Avda de la O.N.U. 76,40.3158950805664,-3.85120368003845,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_18984,18984,AV.ONU-SAO PAULO,Avda de la O.N.U. 76,40.3156967163086,-3.85114216804504,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_20507,20507,AV.ONU-CAMINO DE HUMANES,Avda de la O.N.U. 87,40.3105812072754,-3.85562062263489,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_20508,20508,AV.ONU-CAMINO DE HUMANES,Avda de la O.N.U. 87,40.310661315918,-3.8558452129364,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_21238,21238,AV.ONU-NICARAGUA,Avda de la O.N.U. 60,40.3190422058105,-3.84821820259094,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_21239,21239,AV.ONU-NICARAGUA,Avda de la O.N.U. 60,40.3190155029297,-3.84812378883362,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_21242,21242,AV.ONU-CºLEGANÉS,Avda de la O.N.U. 26,40.3233642578125,-3.84743666648865,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_21243,21243,AV.ONU-CºLEGANÉS,Avda de la O.N.U. 26,40.3233528137207,-3.847825050354,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_06684,06684,CICLISTA DAVID GEA-POLIDEPORTIVO,Calle   Ciclista David Gea SN,40.3281364440918,-3.88637733459473,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07099,07099,AV.IKER CASILLAS-URB.HORIZONTE,Avda de Iker Casillas 27,40.325870513916,-3.88561797142029,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07394,07394,CºOBISPO-C.C.DOS DE MAYO,Calle  Camino del Obispo SN,40.3297729492188,-3.88563370704651,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07701,07701,MÓSTOLES-PºSANTIAGO DE COMPOSTELA,Calle de Móstoles 61,40.2938766479492,-3.81113624572754,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07702,07702,MÓSTOLES-COLEGIO,Calle de Móstoles 68,40.2920341491699,-3.80671405792236,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07703,07703,MÓSTOLES-COLEGIO,Calle de Móstoles 68,40.2922210693359,-3.80659866333008,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07716,07716,MÓSTOLES-AUSTRIA,Calle de Móstoles 35,40.289005279541,-3.80268979072571,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07717,07717,MÓSTOLES-MIRASIERRA,Calle de Mostoles 15,40.2887306213379,-3.80212187767029,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07718,07718,MÓSTOLES-FÁTIMA,Calle de Móstoles 38,40.2868194580078,-3.79988765716553,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07719,07719,MÓSTOLES-FATIMA,Calle de Móstoles 21,40.2867546081543,-3.8000750541687,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07751,07751,LEGANÉS-HUMILLADERO,Calle de Leganés 4000,40.2846897164163,-3.79409115767014,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07752,07752,MÓSTOLES-HUMILLADERO,Calle de Móstoles 12,40.2844581604004,-3.79708337783813,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07769,07769,AV.ESTADOS-EST.PARQUE DE LOS ESTADOS,Avda de los Estados 8,40.2871257666268,-3.788296374498,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07772,07772,LEGANÉS-LOS ÁNGELES,Calle de Leganés 23,40.2868618920934,-3.79263429212132,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07779,07779,ARROYADA DEL TESILLO-PAZ,Calle   Arroyada del Tesillo 22,40.2835731506348,-3.79249691963196,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_07780,07780,TESILLO-LEGANÉS,Calle   Tesillo 34,40.2840270996094,-3.79443144798279,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08172,08172,MÓSTOLES-POL.IND.VEREDA DEL TEMPRANAR,Calle de Móstoles 99,40.2968330383301,-3.81605458259583,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08173,08173,MÓSTOLES-POL.IND.RESTAURANTE,Calle de Móstoles 93,40.2965621948242,-3.81579256057739,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08174,08174,CTRA.M506-POL.IND.CAMINO DE LA CARRERA,Ctra   M-506 (Villaviciosa-Pinto) 13000,40.299186706543,-3.82469582557678,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08176,08176,CTRA.M506-POL.IND.LA CARRERA,Ctra   M-407 4500,40.3024940490723,-3.82826614379883,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08177,08177,CTRA.M506-AV.CIUDAD JARDIN,Ctra   M-506 (Villaviciosa-Pinto) 12700,40.3005599975586,-3.82791304588318,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08179,08179,CTRA.M506-POL.IND.CALLFERSA,Ctra   M-506 (Villaviciosa-Pinto) 15,40.310375213623,-3.83618855476379,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08180,08180,CTRA.M506-URB.PARQUE MIRAFLORES,Urb   Parque Miraflores 61,40.3141708374023,-3.83949518203735,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08558,08558,SIMÓN HERNÁNDEZ-LAS PALMAS,Calle de Simón Hernández 48,40.3205986022949,-3.8583836555481,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08561,08561,SIMÓN HERNÁNDEZ-AV.FELIPE II,Calle de Simón Hernández 51,40.3192863464355,-3.85420036315918,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08562,08562,SIMÓN HERNÁNDEZ-AV.CARLOS V,Calle de Simón Hernández 61,40.3177947998047,-3.85139226913452,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08568,08568,CTRA.FUENLABRADA-POL.IND.PRADO REGORDOÑO,Calle de Simón Hernández 77,40.3151435852051,-3.84426212310791,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08569,08569,SIMÓN HERNÁNDEZ-POL.IND.FUENSANTA,Calle de Simón Hernández 77,40.3148918151855,-3.84400010108948,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08585,08585,SIMÓN HERNÁNDEZ-CARTAYA,Calle de Simón Hernández 32,40.3214340209961,-3.86113667488098,B2,http://www.crtm.es,0,,Europe/Madrid,2
