route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__280___,CRTM,280,COSLADA (FFCC)-HOSPITAL-LOECHES,,3,https://www.crtm.es/8__280___.aspx,8EBF42,FFFFFF
8__281___,CRTM,281,MADRID (Av. de América)-SAN FERNANDO DE HENARES,,3,https://www.crtm.es/8__281___.aspx,8EBF42,FFFFFF
8__282___,CRTM,282,MADRID (Avda. América)-SAN FERNANDO-MEJORADA,,3,https://www.crtm.es/8__282___.aspx,8EBF42,FFFFFF
8__283___,CRTM,283,MADRID (Avda. América)-COSLADA-SAN FERNANDO,,3,https://www.crtm.es/8__283___.aspx,8EBF42,FFFFFF
8__284___,CRTM,284,MADRID (Av. de América)-VELILLA-LOECHES,,3,https://www.crtm.es/8__284___.aspx,8EBF42,FFFFFF
8__285___,CRTM,285,COSLADA (San Fernando FFCC)-VELILLA-ARGANDA DEL REY,,3,https://www.crtm.es/8__285___.aspx,8EBF42,FFFFFF
8__286___,CRTM,286,MADRID (Ciudad Lineal)-COSLADA (Ciudad 70),,3,https://www.crtm.es/8__286___.aspx,8EBF42,FFFFFF
8__287___,CRTM,287,MADRID (Alsacia)-COSLADA (Barrio Estación),,3,https://www.crtm.es/8__287___.aspx,8EBF42,FFFFFF
8__288___,CRTM,288,MADRID (Ciudad Lineal)-COSLADA-SAN FERNANDO,,3,https://www.crtm.es/8__288___.aspx,8EBF42,FFFFFF
8__289___,CRTM,289,MADRID (Ciudad Lineal)-COSLADA (Hospital),,3,https://www.crtm.es/8__289___.aspx,8EBF42,FFFFFF
8__290___,CRTM,290,MADRID (El Cañaveral) - COSLADA - PLENILUNIO,,3,https://www.crtm.es/8__290___.aspx,8EBF42,FFFFFF
8__340___,CRTM,340,TORREJÓN DE ARDOZ-MEJORADA DEL CAMPO,,3,https://www.crtm.es/8__340___.aspx,8EBF42,FFFFFF
8__341___,CRTM,341,MADRID (Pavones)-MEJORADA-VELILLA,,3,https://www.crtm.es/8__341___.aspx,8EBF42,FFFFFF
8__432___,CRTM,432,MADRID (Villaverde Bajo-Cruce)-LEGANÉS,,3,https://www.crtm.es/8__432___.aspx,8EBF42,FFFFFF
8__441___,CRTM,441,MADRID (Plaza Elíptica)-GETAFE (Sector III-Paseo Juan José Rosón),,3,https://www.crtm.es/8__441___.aspx,8EBF42,FFFFFF
8__442___,CRTM,442,MADRID (Plaza Elíptica)-GETAFE (Juan de la Cierva),,3,https://www.crtm.es/8__442___.aspx,8EBF42,FFFFFF
8__443___,CRTM,443,MADRID (Plaza Elíptica)-GETAFE (Barrio Las Margaritas),,3,https://www.crtm.es/8__443___.aspx,8EBF42,FFFFFF
8__444___,CRTM,444,MADRID (Plaza Elíptica)-GETAFE (Sector III-Islas Canarias),,3,https://www.crtm.es/8__444___.aspx,8EBF42,FFFFFF
8__446___,CRTM,446,MADRID (Plaza Elíptica)-GETAFE (El Bercial),,3,https://www.crtm.es/8__446___.aspx,8EBF42,FFFFFF
8__447___,CRTM,447,MADRID (Legazpi)-GETAFE (Hospital),,3,https://www.crtm.es/8__447___.aspx,8EBF42,FFFFFF
8__448___,CRTM,448,MADRID (Legazpi)-GETAFE (Por Villaverde),,3,https://www.crtm.es/8__448___.aspx,8EBF42,FFFFFF
8__450___,CRTM,450,GETAFE-LEGANÉS-ALCORCÓN,,3,https://www.crtm.es/8__450___.aspx,8EBF42,FFFFFF
8__455___,CRTM,455,PINTO - GETAFE,,3,https://www.crtm.es/8__455___.aspx,8EBF42,FFFFFF
8__460___,CRTM,460,MADRID (Plaza Elíptica)-PARLA-BATRES,,3,https://www.crtm.es/8__460___.aspx,8EBF42,FFFFFF
8__461___,CRTM,461,MADRID (Plaza Elíptica)-PARLA,,3,https://www.crtm.es/8__461___.aspx,8EBF42,FFFFFF
8__462___,CRTM,462,PARLA-GETAFE,,3,https://www.crtm.es/8__462___.aspx,8EBF42,FFFFFF
8__463___,CRTM,463,MADRID (Plaza Elíptica)-PARLA-TORREJÓN DE VELASCO,,3,https://www.crtm.es/8__463___.aspx,8EBF42,FFFFFF
8__464___,CRTM,464,MADRID (Plaza Elíptica)-PARLA-YUNCLILLOS,,3,https://www.crtm.es/8__464___.aspx,8EBF42,FFFFFF
8__466___,CRTM,466,PARLA-VALDEMORO,,3,https://www.crtm.es/8__466___.aspx,8EBF42,FFFFFF
8__468___,CRTM,468,GETAFE-GRIÑÓN/CASARRUBUELOS/SERRANILLOS,,3,https://www.crtm.es/8__468___.aspx,8EBF42,FFFFFF
8__469___,CRTM,469,MADRID (Plaza Elíptica)-PARLA (Parla Este),,3,https://www.crtm.es/8__469___.aspx,8EBF42,FFFFFF
8__470___,CRTM,470,MADRID (Plaza Elíptica) - HUMANES - GRIÑÓN-SERRANILLOS,,3,https://www.crtm.es/8__470___.aspx,8EBF42,FFFFFF
8__471___,CRTM,471,HUMANES-FUENLABRADA-PARLA-PINTO,,3,https://www.crtm.es/8__471___.aspx,8EBF42,FFFFFF
8__560___,CRTM,560,POZUELO DE ALARCÓN-ALCORCÓN,,3,https://www.crtm.es/8__560___.aspx,8EBF42,FFFFFF
8__561___,CRTM,561,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS,,3,https://www.crtm.es/8__561___.aspx,8EBF42,FFFFFF
8__561_A__,CRTM,561A,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS (por Universidad),,3,https://www.crtm.es/8__561_A__.aspx,8EBF42,FFFFFF
8__561_B__,CRTM,561B,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS (por Av. Guadarrama),,3,https://www.crtm.es/8__561_B__.aspx,8EBF42,FFFFFF
8__562___,CRTM,562,MADRID (Aluche)-POZUELO DE ALARCÓN,,3,https://www.crtm.es/8__562___.aspx,8EBF42,FFFFFF
8__563___,CRTM,563,MADRID (Aluche)-POZUELO (Por Urb. Las Minas),,3,https://www.crtm.es/8__563___.aspx,8EBF42,FFFFFF
8__564___,CRTM,564,MADRID (Aluche)-POZUELO (Por Somosaguas Sur),,3,https://www.crtm.es/8__564___.aspx,8EBF42,FFFFFF
8__565___,CRTM,565,POZUELO (Est. El Barrial) - BOADILLA (Est. Puerta de Boadilla),,3,https://www.crtm.es/8__565___.aspx,8EBF42,FFFFFF
8__566___,CRTM,566,BOADILLA DEL MONTE-POZUELO DE ALARCÓN,,3,https://www.crtm.es/8__566___.aspx,8EBF42,FFFFFF
8__567___,CRTM,567,VILLAVICIOSA DE ODÓN-MAJADAHONDA,,3,https://www.crtm.es/8__567___.aspx,8EBF42,FFFFFF
