route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__280___,1347750_8__280___,1347750_8__280___-9751559,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347750_8__280___,1347750_8__280___-9751560,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347750_8__280___,1347750_8__280___-9751561,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347750_8__280___,1347750_8__280___-9751562,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347750_8__280___,1347750_8__280___-9751563,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347750_8__280___,1347750_8__280___-9751564,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347750_8__280___,1347750_8__280___-9751565,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347750_8__280___,1347750_8__280___-9751566,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347753_8__280___,1347753_8__280___-9752448,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347753_8__280___,1347753_8__280___-9752449,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347753_8__280___,1347753_8__280___-9752450,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347753_8__280___,1347753_8__280___-9752451,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347753_8__280___,1347753_8__280___-9752452,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347753_8__280___,1347753_8__280___-9752453,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347753_8__280___,1347753_8__280___-9752454,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347753_8__280___,1347753_8__280___-9752455,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347754_8__280___,1347754_8__280___-9752971,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
8__280___,1347754_8__280___,1347754_8__280___-9752972,AV.ESPAÑA-ZOCO COSLADA,lv 280 HOSPITAL-COSLADA (Est. Coslada),1,,8__280____2_c._IT_2,0
8__280___,1347754_8__280___,1347754_8__280___-9752973,BRONCE-PLATINO,lv 280 HOSPITAL-LOECHES(Pol. Industriales),0,,8__280____1_c._IT_2,0
