route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__191___,9999_8__191___,9999_8__191___-8__191____1_06:20:00_2_brh__3_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,lv 191 MADRID (Pza. Castilla),1,,8__191____2_brh_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_09:00:00_1_s.__12_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA,0,,8__191____1_s._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_12:00:00_2_bs__12_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_15:00:00_2_bs__15_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_17:00:00_1_sdc__22_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA (por C.Monterrey directo),0,,8__191____1_sdc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_22:00:00_1_c.__29_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_15:00:00_2_cbs__8_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_cbs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_05:20:00_2_-__1_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_10:00:00_2_bs__10_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_15:00:00_1_sc__19_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA (por C.Monterrey),0,,8__191____1_sc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_12:00:00_1_bs__15_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_06:00:00_1_su__1_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_su_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_08:00:00_2_sc__7_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza.Castilla) por C.Monterrey,1,,8__191____2_sc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_11:00:00_1_c.__14_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_13:15:00_2_d.__13_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla),1,,8__191____2_d._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_06:00:00_2_dc__2_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_dc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_08:00:00_1_bs__10_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_11:10:00_2_sd__11_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla) directo,1,,8__191____2_sd_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_13:00:00_1_c.__16_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_14:00:00_1_cbs__18_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_cbs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_14:00:00_2_c.__14_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla) colegio,1,,8__191____2_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_16:00:00_1_bs__21_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_18:30:00_2_bs__25_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_21:00:00_1_bs__28_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_07:00:00_2_cbd__6_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza.Castilla) por C.Monterrey El Berrueco y Sieteiglesias directo,1,,8__191____2_cbd_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_10:00:00_1_bs__13_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_18:00:00_1_bs__24_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_06:30:00_2_n.__4_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_n._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_17:00:00_2_s.__24_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_s._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_19:00:00_1_dc__26_8__191___,AV.MADRID-REAL,191 BUITRAGO (por C.Monterrey) directo,0,,8__191____1_dc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_20:00:00_1_cbs__27_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_cbs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_22:00:00_2_bs__28_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_13:30:00_1_-__17_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_16:00:00_2_c.__21_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla) colegio,1,,8__191____2_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_06:40:00_1_c.__2_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_09:00:00_2_cbs__8_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_cbs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_09:30:00_2_h.__9_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza.Castilla) directo por Hospital  S.S.Reyes,1,,8__191____2_h._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_23:00:00_1_mbv__30_8__191___,AV.MADRID-REAL,191 BUITRAGO (por El Vellón),0,,8__191____1_mbv_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_15:30:00_1_a.__20_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_a._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_07:00:00_2_a.__5_8__191___,AV.ESPAÑA-EST.ALCOBENDAS S.SEB.REYES,191 ALCOBENDAS (Alcobendas-S.S.Reyes Est.),1,,8__191____2_a._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_16:00:00_2_a.__19_8__191___,AV.ESPAÑA-EST.ALCOBENDAS S.SEB.REYES,191 ALCOBENDAS (Alcobendas-S.S.Reyes Est.),1,,8__191____2_a._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_18:00:00_1_a.__25_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_a._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_00:30:00_1_sn_v._31_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_sn_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_00:40:00_2_sn_v._29_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_sn_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_02:20:00_2_sn_v._30_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_sn_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____1_02:30:00_1_sn_v._32_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_sn_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_00:40:00_1_sn__14_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_sn_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_01:00:00_2_sn__14_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_sn_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_02:30:00_2_sn__15_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_sn_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_03:00:00_1_sn__15_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_sn_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_07:00:00_2_cbs__1_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_cbs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_07:55:00_1_bs__1_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_08:00:00_1_s.__2_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA,0,,8__191____1_s._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_08:30:00_2_bs__2_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_09:00:00_1_c.__3_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_10:00:00_2_c.__3_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla) colegio,1,,8__191____2_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_10:30:00_1_bs__4_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_12:00:00_1_c.__5_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_12:30:00_2_bs__5_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_13:00:00_1_bs__6_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_13:55:00_2_bs__6_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_14:00:00_2_-__7_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_14:30:00_1_-__7_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_16:00:00_1_s.__8_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA,0,,8__191____1_s._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_16:30:00_2_c.__9_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla) colegio,1,,8__191____2_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_17:00:00_1_cbs__9_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_cbs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_18:00:00_2_bs__10_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_18:30:00_1_-__10_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_19:00:00_2_sc__11_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza.Castilla) por C.Monterrey,1,,8__191____2_sc_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_20:00:00_1_c.__11_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_20:30:00_2_bs__12_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID(Pza.Castilla) por El Berrueco,1,,8__191____2_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_21:00:00_1_bs__12_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_22:00:00_2_-__13_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____2_22:30:00_1_c.__13_8__191___,AV.MADRID-REAL,191 BUITRAGO,0,,8__191____1_c._IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_07:00:00_2_-__1_8__191___,INTERCAMBIADOR DE PLAZA CASTILLA,191 MADRID (Pza. Castilla),1,,8__191____2_-_IT_1,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_07:55:00_1_bs__1_8__191___,AV.MADRID-REAL,191 BUITRAGO(por El Berrueco),0,,8__191____1_bs_IT_2,0
8__191___,9999_8__191___,9999_8__191___-8__191____3_08:00:00_1_sc__2_8__191___,SOMOSIERRA-CTRA.IRÚN,191 SOMOSIERRA (por C.Monterrey),0,,8__191____1_sc_IT_2,0
