stop_id,stop_name,stop_lat,stop_lon
STOP_1,STOP_1,40.30013322903108,-3.810378312779224
STOP_2,STOP_2,40.284370971867986,-3.799134490788554
STOP_3,STOP_3,40.28399447000991,-3.7993329742766995
STOP_4,STOP_4,40.28543496226188,-3.798501483142894
STOP_5,STOP_5,40.286187947834705,-3.799295417095435
STOP_6,STOP_6,40.287055507768756,-3.80069016593098
STOP_7,STOP_7,40.28847959144351,-3.8020849147665063
STOP_8,STOP_8,40.2835360918317,-3.7995314515137655
STOP_9,STOP_9,40.2901000639547,-3.8039946477874684
STOP_10,STOP_10,40.292146059606345,-3.8070630952256654
STOP_11,STOP_11,40.293539394828066,-3.810925479676835
