shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
colmenar_001,40.645741862129775,-3.77689361360581,1
colmenar_001,40.64603493327022,-3.776636121513102,2
colmenar_001,40.64677574624814,-3.776603935001506,3
colmenar_001,40.646971124124704,-3.776121137327667,4
colmenar_001,40.64719092355217,-3.776324985234401,5
colmenar_001,40.64742700361234,-3.7761855103508384,6
colmenar_001,40.64889230944495,-3.7745010829110086,7
colmenar_001,40.649649371519146,-3.7736964201212695,8
colmenar_001,40.650162215141265,-3.7735247587261305,9
colmenar_001,40.65038200405849,-3.7736105894237,10
colmenar_001,40.65111462855418,-3.773868081516408,11
colmenar_001,40.65404504610024,-3.7751448131427887,12
colmenar_001,40.654199703450786,-3.7748444057012858,13
colmenar_001,40.65318221430234,-3.7714755508216062,14
colmenar_001,40.65292987459233,-3.771250245240474,15
colmenar_001,40.65295429460597,-3.770660159194668,16
colmenar_001,40.65253915315849,-3.767752644314451,17
colmenar_001,40.65255543326393,-3.7659823861770323,18
colmenar_001,40.65249845287757,-3.765542503851967,19
colmenar_001,40.65262055364589,-3.7651991810616896,20
colmenar_001,40.652978714610676,-3.765349384782431,21
colmenar_001,40.65315779437211,-3.7654566731543975,22
colmenar_001,40.655241596259174,-3.7650704350153257,23
colmenar_001,40.6554369493494,-3.764737841062247,24
colmenar_001,40.65546950814215,-3.763858076412137,25
colmenar_001,40.655868352063955,-3.7631928885059605,26
colmenar_001,40.65669859094746,-3.762463327576591,27
colmenar_001,40.65807416008216,-3.762130733623512,28
colmenar_001,40.658611356894994,-3.761637207112474,29
colmenar_001,40.65892065006733,-3.7609827480434963,30
colmenar_001,40.65911599238466,-3.7610471210666674,31
colmenar_001,40.659856660141635,-3.7613153419965744,32
colmenar_001,40.660125251911765,-3.7613367996709712,33
colmenar_001,40.660939159762634,-3.7619376145539762,34
colmenar_001,40.66105310606927,-3.7618839703679834,35
colmenar_001,40.661175191181826,-3.762130733623512,36
colmenar_001,40.66096357684474,-3.762377496879022,37
colmenar_001,40.66015780841647,-3.763461109435867,38
colmenar_001,40.659978747443965,-3.7638688052493356,39
colmenar_001,40.66186700259884,-3.765424486642822,40
colmenar_001,40.66200536402123,-3.765907284316661,41
colmenar_001,40.66208675295917,-3.7668085066411487,42
colmenar_001,40.6619321138922,-3.7674522368729484,43
colmenar_001,40.66198094732049,-3.767902848035192,44
colmenar_001,40.66361684650856,-3.768997189429236,45
colmenar_001,40.665236428567056,-3.7697052926841876,46
colmenar_001,40.66537478299993,-3.7700164289628884,47
colmenar_001,40.666489746482725,-3.770982024310568,48
colmenar_001,40.669452040655386,-3.7729239438431255,49
colmenar_001,40.669647352130674,-3.772848841982755,50
colmenar_001,40.66985080097576,-3.773063418726688,51
colmenar_001,40.67046928165319,-3.7736105894237,52
colmenar_001,40.6705669359726,-3.7735891317493024,53
colmenar_001,40.67090058715158,-3.7727951977967615,54
colmenar_001,40.67098196523466,-3.771786687100308,55
colmenar_001,40.670933138396734,-3.769769665707379,56
colmenar_001,40.66946831663353,-3.7698340387305516,57
colmenar_001,40.66944390266485,-3.769565817800644,58
colmenar_001,40.669435764673324,-3.769394156405506,59
colmenar_001,40.66954969646452,-3.7693083257079167,60
colmenar_001,40.66968804194936,-3.7695336312890486,61
colmenar_001,40.671885255287386,-3.768020865244358,62
colmenar_001,40.672072421966085,-3.768010136407159,63
colmenar_001,40.67273970758846,-3.7675058810589217,64
colmenar_001,40.67366738626059,-3.7666904894320035,65
colmenar_001,40.674513678352135,-3.7661111322233953,66
colmenar_001,40.67450554097934,-3.765853640130668,67
colmenar_001,40.67471711234957,-3.7658858266422643,68
colmenar_001,40.675815645209596,-3.7650597061781266,69
colmenar_001,40.67567731243817,-3.764855858271412,70
colmenar_001,40.67369179868293,-3.763149973157166,71
colmenar_001,40.67337443649535,-3.7630963289711925,72
colmenar_001,40.67328492381037,-3.7628173792040873,73
colmenar_001,40.67227586341223,-3.7619376145539762,74
