trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:00:00,00:00:00,par_8_09146,0,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:00:26,00:00:26,par_8_09145,1,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:01:15,00:01:15,par_8_20904,2,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:02:44,00:02:44,par_8_17852,3,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:03:35,00:03:35,par_8_12505,4,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:04:16,00:04:16,par_8_12507,5,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:04:38,00:04:38,par_8_12461,6,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:05:01,00:05:01,par_8_09999,7,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:05:34,00:05:34,par_8_09945,8,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:06:48,00:06:48,par_8_12455,9,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:10:15,00:10:15,par_8_06075,10,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:13:43,00:13:43,par_8_09949,11,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:14:32,00:14:32,par_8_09950,12,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:15:24,00:15:24,par_8_09953,13,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:16:17,00:16:17,par_8_09954,14,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:17:18,00:17:18,par_8_20295,15,,,,
630_8__630___-8__630____1_00:00:00_2_c._v._35_8__630___,00:18:00,00:18:00,par_8_15797,16,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:30:00,00:30:00,par_8_15797,0,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:31:08,00:31:08,par_8_20294,1,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:32:01,00:32:01,par_8_06354,2,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:32:40,00:32:40,par_8_09955,3,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:33:40,00:33:40,par_8_09952,4,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:34:36,00:34:36,par_8_09951,5,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:35:46,00:35:46,par_8_09948,6,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:40:16,00:40:16,par_8_06075,7,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:44:29,00:44:29,par_8_12454,8,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:46:03,00:46:03,par_8_09946,9,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:46:42,00:46:42,par_8_09944,10,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:47:07,00:47:07,par_8_12460,11,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:47:38,00:47:38,par_8_12458,12,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:48:35,00:48:35,par_8_12506,13,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:52:06,00:52:06,par_8_06158,14,,,,
630_8__630___-8__630____1_00:30:00_1_c._v._36_8__630___,00:52:48,00:52:48,par_8_20845,15,,,,
