route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__641___,641_8__641___,641_8__641___-8__641____1_06:20:00_2_pb__1_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por Puentelasierra por bus-VAO,1,,8__641____2_pb_IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_06:45:00_1_-__1_8__641___,AV.CERRO ALARCÓN-AV.RONCESVALLES,lv 641 VALDEMORILLO,0,,8__641____1_-_IT_1,0
8__641___,641_8__641___,641_8__641___-8__641____1_06:50:00_2_b.__2_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por bus-VAO,1,,8__641____2_b._IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_07:00:00_2_b.__3_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por bus-VAO,1,,8__641____2_b._IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_07:15:00_1_-__2_8__641___,AV.CERRO ALARCÓN-AV.RONCESVALLES,lv 641 VALDEMORILLO,0,,8__641____1_-_IT_1,0
8__641___,641_8__641___,641_8__641___-8__641____1_07:15:00_2_pb__4_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por Puentelasierra por bus-VAO,1,,8__641____2_pb_IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_07:30:00_2_b.__5_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por bus-VAO,1,,8__641____2_b._IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_07:40:00_2_b.__6_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por bus-VAO,1,,8__641____2_b._IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_08:00:00_1_-__3_8__641___,AV.CERRO ALARCÓN-AV.RONCESVALLES,lv 641 VALDEMORILLO,0,,8__641____1_-_IT_1,0
8__641___,641_8__641___,641_8__641___-8__641____1_08:00:00_2_pb__7_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por Puentelasierra por bus-VAO,1,,8__641____2_pb_IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_08:20:00_2_b.__8_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por bus-VAO,1,,8__641____2_b._IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_08:30:00_1_-__4_8__641___,AV.CERRO ALARCÓN-AV.RONCESVALLES,lv 641 VALDEMORILLO,0,,8__641____1_-_IT_1,0
8__641___,641_8__641___,641_8__641___-8__641____1_09:05:00_2_pb__9_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por Puentelasierra por bus-VAO,1,,8__641____2_pb_IT_2,0
8__641___,641_8__641___,641_8__641___-8__641____1_09:30:00_1_-__5_8__641___,AV.CERRO ALARCÓN-AV.RONCESVALLES,lv 641 VALDEMORILLO,0,,8__641____1_-_IT_1,0
8__641___,641_8__641___,641_8__641___-8__641____1_10:30:00_1_-__6_8__641___,AV.CERRO ALARCÓN-AV.RONCESVALLES,lv 641 VALDEMORILLO,0,,8__641____1_-_IT_1,0
8__641___,641_8__641___,641_8__641___-8__641____1_10:30:00_2_pb__10_8__641___,INTERCAMBIADOR DE MONCLOA,641 MADRID (Moncloa) por Puentelasierra por bus-VAO,1,,8__641____2_pb_IT_2,0
