stop_id,stop_name,stop_lat,stop_lon
STOP_1,STOP_1,40.65266432768725,-3.766577838904377
STOP_2,STOP_2,40.59907971451412,-3.715342282143866
STOP_3,STOP_3,40.5986805312957,-3.711200950986043
STOP_4,STOP_4,40.59547068571672,-3.7085938435473076
STOP_5,STOP_5,40.59647276065386,-3.7011587593701756
STOP_6,STOP_6,40.59874570422887,-3.7017810319275584
STOP_7,STOP_7,40.60186625341715,-3.6965346314707475
STOP_8,STOP_8,40.60160557347248,-3.6991846542582567
STOP_9,STOP_9,40.60580055657193,-3.697961566579121
STOP_10,STOP_10,40.610471589017024,-3.696641913793433
STOP_11,STOP_11,40.61252414375077,-3.704452507272438
STOP_12,STOP_12,40.60799540733728,-3.7142801221443715
STOP_13,STOP_13,40.60920092830036,-3.7182283342326587
STOP_14,STOP_14,40.61633586383983,-3.7287425946851664
STOP_15,STOP_15,40.62773714702491,-3.7303304625902483
STOP_16,STOP_16,40.64346772187809,-3.730974192822028
STOP_17,STOP_17,40.654148069495506,-3.742861744435684
STOP_18,STOP_18,40.6584457757882,-3.7577533704643455
STOP_19,STOP_19,40.661733985308615,-3.767623900685074
